File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MCD12Q2_006_Greenup_1_doy2010001_aid0001,Greenup,aid0001,2010-01-01,1147.0,14693.0,14875.0,"(14693.0,14875.0)",14823.5780296,17.1457612,293.9771285,14829.0,14840.0,14824.0,14814.0,14821.0
MCD12Q2_006_Greenup_0_doy2010001_aid0001,Greenup,aid0001,2010-01-01,34208.0,14544.0,14837.0,"(14544.0,14837.0)",14687.032507,19.056497,363.1500775,14698.0,14732.0,14691.0,14641.0,14675.0
