File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MCD12Q2_006_Greenup_1_doy2010001_aid0001,Greenup,aid0001,2010-01-01,18.0,14789.0,14811.0,"(14789.0,14811.0)",14797.5555556,6.3527966,40.3580247,14797.0,14797.0,14796.0,14791.0,14794.25
MCD12Q2_006_Greenup_0_doy2010001_aid0001,Greenup,aid0001,2010-01-01,3727.0,14560.0,14794.0,"(14560.0,14794.0)",14699.9479474,19.6919795,387.7740547,14701.0,14714.0,14695.0,14679.0,14692.0
